Emp ID,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Role
20,18-25,Yes,Travel_Rarely,Research & Development,10,1,Medical,4,Male,3,1,Research Scientist,3,Single,1009,Upto 5k,1,Yes,11,3,0,1,5,3,1,0,1,1,Research & Development_Research Scientist
21,18-25,Yes,Travel_Rarely,Sales,2,3,Medical,3,Female,2,1,Sales Representative,3,Single,2044,Upto 5k,1,No,13,3,0,2,3,2,2,2,0,2,Sales_Sales Representative
22,18-25,Yes,Travel_Rarely,Research & Development,4,3,Technical Degree,1,Male,3,1,Laboratory Technician,1,Single,2973,Upto 5k,1,No,19,3,0,1,2,3,1,0,0,0,Research & Development_Laboratory Technician
23,18-25,Yes,Travel_Rarely,Research & Development,11,3,Medical,4,Female,2,1,Research Scientist,1,Single,2600,Upto 5k,1,Yes,15,3,0,1,2,3,1,0,0,0,Research & Development_Research Scientist
24,18-25,Yes,Travel_Frequently,Sales,9,3,Marketing,4,Female,3,1,Sales Representative,4,Single,2323,Upto 5k,1,Yes,14,3,0,2,3,3,2,2,0,2,Sales_Sales Representative
25,18-25,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,Male,2,1,Laboratory Technician,3,Single,3033,Upto 5k,1,No,12,3,0,2,2,2,2,2,1,2,Research & Development_Laboratory Technician
26,18-25,No,Travel_Rarely,Sales,21,3,Marketing,3,Male,4,1,Sales Representative,4,Single,2678,Upto 5k,1,No,17,3,0,2,2,3,2,1,2,2,Sales_Sales Representative
27,18-25,No,Travel_Rarely,Sales,2,3,Medical,3,Female,3,1,Sales Representative,3,Single,2783,Upto 5k,1,No,19,3,0,2,3,3,2,2,2,2,Sales_Sales Representative
28,18-25,No,Travel_Rarely,Sales,9,1,Life Sciences,4,Male,3,1,Sales Representative,1,Single,2728,Upto 5k,1,No,11,3,0,2,3,3,2,2,0,2,Sales_Sales Representative
29,18-25,No,Travel_Rarely,Research & Development,3,2,Medical,4,Male,2,1,Research Scientist,3,Single,3230,Upto 5k,1,No,17,3,0,3,4,4,3,2,1,0,Research & Development_Research Scientist
30,18-25,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,Female,2,1,Sales Representative,2,Single,2174,Upto 5k,1,Yes,11,3,0,3,3,3,3,2,1,2,Sales_Sales Representative
31,18-25,Yes,Travel_Rarely,Sales,12,3,Life Sciences,3,Female,4,1,Sales Representative,2,Single,2716,Upto 5k,1,No,15,3,0,1,0,3,1,0,0,0,Sales_Sales Representative
32,18-25,No,Travel_Rarely,Sales,22,1,Technical Degree,3,Male,3,1,Sales Representative,3,Single,3447,Upto 5k,1,No,11,3,0,3,2,3,3,2,1,2,Sales_Sales Representative
33,18-25,Yes,Travel_Rarely,Research & Development,18,1,Other,4,Female,3,1,Research Scientist,4,Single,2693,Upto 5k,1,No,19,3,0,1,3,2,1,0,0,0,Research & Development_Research Scientist
34,18-25,Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,3,Female,2,1,Laboratory Technician,1,Single,1416,Upto 5k,1,No,13,3,0,1,6,2,1,0,1,0,Research & Development_Laboratory Technician
35,18-25,No,Travel_Rarely,Research & Development,1,1,Technical Degree,4,Female,2,1,Research Scientist,2,Single,2070,Upto 5k,1,Yes,11,3,0,2,6,4,2,2,2,2,Research & Development_Research Scientist
36,18-25,Yes,Travel_Frequently,Research & Development,10,2,Life Sciences,1,Female,2,1,Laboratory Technician,3,Single,2625,Upto 5k,1,No,20,4,0,2,2,1,2,2,2,2,Research & Development_Laboratory Technician
37,18-25,No,Travel_Rarely,Research & Development,5,1,Medical,3,Male,3,1,Research Scientist,4,Single,3117,Upto 5k,1,No,18,3,0,3,2,3,2,2,2,2,Research & Development_Research Scientist
38,18-25,Yes,Travel_Rarely,Sales,7,1,Marketing,2,Male,3,1,Sales Representative,2,Single,2679,Upto 5k,1,No,13,3,0,1,3,3,1,0,1,0,Sales_Sales Representative
39,18-25,No,Travel_Rarely,Sales,5,1,Medical,3,Male,3,1,Sales Representative,1,Single,2380,Upto 5k,1,Yes,11,3,0,2,6,3,2,2,1,2,Sales_Sales Representative
40,18-25,No,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,Upto 5k,1,Yes,13,3,2,1,2,2,1,0,0,0,Research & Development_Laboratory Technician
41,18-25,No,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,Upto 5k,1,No,15,3,0,1,5,3,0,0,0,0,Research & Development_Laboratory Technician
42,18-25,No,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,2523,Upto 5k,0,No,14,3,1,3,2,3,2,1,2,1,Research & Development_Laboratory Technician
43,18-25,No,Travel_Rarely,Research & Development,19,1,Medical,3,Male,3,1,Research Scientist,4,Married,2323,Upto 5k,1,No,24,4,2,2,6,3,2,2,2,2,Research & Development_Research Scientist
44,18-25,No,Travel_Rarely,Research & Development,11,3,Medical,1,Female,3,1,Research Scientist,2,Married,2244,Upto 5k,1,No,13,3,1,2,1,3,2,1,1,2,Research & Development_Research Scientist
45,18-25,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,3,Male,2,1,Laboratory Technician,3,Single,3894,Upto 5k,5,No,16,3,0,4,3,3,2,2,1,2,Research & Development_Laboratory Technician
46,18-25,No,Travel_Rarely,Research & Development,6,1,Medical,1,Male,3,1,Research Scientist,3,Married,2773,Upto 5k,0,No,20,4,0,3,3,3,2,2,2,2,Research & Development_Research Scientist
47,18-25,No,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,2,2,Manufacturing Director,4,Married,4775,Upto 5k,6,No,22,4,2,4,2,1,2,2,2,2,Research & Development_Manufacturing Director
48,18-25,Yes,Travel_Rarely,Research & Development,3,1,Life Sciences,2,Female,3,2,Manufacturing Director,3,Married,4171,Upto 5k,0,Yes,19,3,1,4,3,4,3,2,0,2,Research & Development_Manufacturing Director
49,18-25,No,Travel_Rarely,Research & Development,8,1,Life Sciences,2,Male,1,1,Laboratory Technician,1,Married,2451,Upto 5k,1,No,15,3,1,4,3,2,4,3,1,1,Research & Development_Laboratory Technician
50,18-25,Yes,Travel_Frequently,Research & Development,3,4,Life Sciences,3,Male,2,1,Research Scientist,4,Married,2853,Upto 5k,0,Yes,11,3,1,1,5,3,0,0,0,0,Research & Development_Research Scientist
51,18-25,No,Non-Travel,Research & Development,26,2,Other,2,Female,2,1,Research Scientist,3,Married,2814,Upto 5k,1,Yes,14,3,0,4,2,2,4,2,1,3,Research & Development_Research Scientist
52,18-25,Yes,Travel_Rarely,Research & Development,8,1,Medical,3,Female,3,1,Laboratory Technician,1,Married,2398,Upto 5k,1,Yes,17,3,0,1,6,3,1,0,0,0,Research & Development_Laboratory Technician
53,18-25,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,4,Male,3,1,Research Scientist,2,Single,2472,Upto 5k,1,Yes,23,4,0,1,2,3,1,0,0,0,Research & Development_Research Scientist
54,18-25,No,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,3,1,Research Scientist,3,Single,3375,Upto 5k,0,No,12,3,0,4,2,4,3,2,1,2,Research & Development_Research Scientist
55,18-25,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,Upto 5k,3,No,13,3,1,3,3,3,0,0,0,0,Sales_Sales Representative
56,18-25,No,Travel_Rarely,Research & Development,26,1,Life Sciences,3,Male,3,1,Research Scientist,4,Divorced,2904,Upto 5k,1,No,12,3,2,4,2,2,4,2,0,2,Research & Development_Research Scientist
57,18-25,No,Travel_Rarely,Research & Development,4,3,Medical,1,Male,4,1,Research Scientist,1,Married,2819,Upto 5k,2,No,16,3,1,5,3,4,3,2,0,2,Research & Development_Research Scientist
58,18-25,No,Travel_Rarely,Research & Development,9,1,Medical,2,Male,3,1,Laboratory Technician,1,Married,2500,Upto 5k,1,No,14,3,1,5,2,4,4,3,0,2,Research & Development_Laboratory Technician
59,18-25,No,Travel_Rarely,Research & Development,10,1,Medical,1,Male,4,1,Research Scientist,3,Single,3505,Upto 5k,1,No,18,3,0,2,3,3,2,2,0,2,Research & Development_Research Scientist
60,18-25,Yes,Travel_Rarely,Research & Development,6,3,Life Sciences,3,Male,4,1,Laboratory Technician,1,Married,1601,Upto 5k,1,Yes,21,4,2,1,2,3,0,0,0,0,Research & Development_Laboratory Technician
61,18-25,No,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,3,1,Research Scientist,3,Married,1223,Upto 5k,1,No,22,4,1,1,2,3,1,0,0,1,Research & Development_Research Scientist
62,18-25,No,Travel_Rarely,Research & Development,20,1,Life Sciences,1,Male,3,2,Laboratory Technician,3,Single,2272,Upto 5k,0,No,14,3,0,5,2,3,4,3,1,2,Research & Development_Laboratory Technician
63,18-25,No,Travel_Rarely,Research & Development,10,3,Technical Degree,4,Male,4,1,Research Scientist,3,Married,2073,Upto 5k,2,No,16,3,1,4,2,3,2,2,2,2,Research & Development_Research Scientist
64,18-25,Yes,Travel_Rarely,Research & Development,8,1,Medical,4,Male,2,1,Laboratory Technician,3,Single,3989,Upto 5k,1,Yes,11,3,0,5,2,3,5,4,1,2,Research & Development_Laboratory Technician
65,18-25,Yes,Travel_Rarely,Sales,7,3,Life Sciences,3,Male,3,1,Sales Representative,4,Divorced,2275,Upto 5k,1,Yes,21,4,1,3,2,3,3,2,0,2,Sales_Sales Representative
66,18-25,No,Travel_Rarely,Research & Development,4,1,Medical,3,Female,3,1,Laboratory Technician,2,Single,3295,Upto 5k,1,No,13,3,0,3,3,1,3,2,1,2,Research & Development_Laboratory Technician
67,18-25,No,Travel_Rarely,Research & Development,12,2,Other,4,Male,3,1,Laboratory Technician,4,Single,2647,Upto 5k,1,No,13,3,0,5,6,4,5,2,1,4,Research & Development_Laboratory Technician
68,18-25,Yes,Travel_Frequently,Sales,9,3,Marketing,4,Male,3,1,Sales Representative,1,Married,1790,Upto 5k,1,No,19,3,1,1,3,2,1,0,1,0,Sales_Sales Representative
69,18-25,No,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,Upto 5k,0,No,18,3,1,5,5,2,4,2,1,3,Research & Development_Manufacturing Director
70,18-25,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,Upto 5k,2,Yes,16,3,1,6,2,2,2,0,2,0,Research & Development_Research Scientist
71,18-25,No,Travel_Rarely,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,Married,4999,Upto 5k,0,No,21,4,1,4,2,2,3,2,0,2,Sales_Sales Executive
72,18-25,No,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,Upto 5k,0,No,12,3,1,6,2,3,5,3,1,2,Research & Development_Laboratory Technician
73,18-25,No,Travel_Rarely,Sales,10,4,Marketing,4,Female,3,2,Sales Executive,3,Divorced,4260,Upto 5k,1,Yes,12,3,1,5,2,4,5,2,0,3,Sales_Sales Executive
74,18-25,Yes,Travel_Rarely,Sales,1,1,Technical Degree,1,Female,3,1,Sales Representative,2,Single,3202,Upto 5k,1,Yes,16,3,0,6,4,3,5,3,1,4,Sales_Sales Representative
75,18-25,No,Travel_Frequently,Sales,24,3,Medical,4,Male,3,1,Sales Representative,4,Married,2400,Upto 5k,0,No,13,3,2,3,3,3,2,2,2,1,Sales_Sales Representative
76,18-25,No,Travel_Rarely,Research & Development,23,3,Medical,2,Male,4,1,Research Scientist,4,Married,2725,Upto 5k,1,Yes,11,3,2,6,3,3,6,5,1,4,Research & Development_Research Scientist
77,18-25,No,Travel_Rarely,Research & Development,17,2,Other,4,Male,2,1,Laboratory Technician,2,Married,2127,Upto 5k,1,No,21,4,1,1,2,3,1,0,0,0,Research & Development_Laboratory Technician
78,18-25,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Female,3,1,Laboratory Technician,3,Married,2886,Upto 5k,1,Yes,16,3,1,6,4,3,6,3,1,2,Research & Development_Laboratory Technician
79,18-25,Yes,Travel_Rarely,Sales,3,2,Life Sciences,1,Female,3,2,Sales Executive,3,Single,4577,Upto 5k,9,No,14,3,0,4,3,3,2,2,2,0,Sales_Sales Executive
80,18-25,No,Non-Travel,Research & Development,9,3,Life Sciences,3,Male,2,1,Laboratory Technician,2,Divorced,2694,Upto 5k,1,No,11,3,3,1,4,3,1,0,0,0,Research & Development_Laboratory Technician
81,18-25,No,Non-Travel,Research & Development,4,1,Life Sciences,1,Male,2,1,Laboratory Technician,4,Married,3162,Upto 5k,0,No,17,3,0,6,2,2,5,2,3,4,Research & Development_Laboratory Technician
82,18-25,No,Travel_Rarely,Research & Development,17,1,Medical,4,Female,2,2,Manufacturing Director,3,Divorced,4377,Upto 5k,1,No,15,3,2,5,6,3,4,2,3,2,Research & Development_Manufacturing Director
83,18-25,No,Travel_Rarely,Research & Development,24,3,Medical,4,Male,3,1,Laboratory Technician,2,Single,3597,Upto 5k,8,No,22,4,0,6,2,3,4,3,1,2,Research & Development_Laboratory Technician
84,18-25,Yes,Travel_Rarely,Research & Development,17,2,Life Sciences,4,Female,3,1,Laboratory Technician,2,Married,2210,Upto 5k,1,No,13,3,1,1,3,1,1,0,0,0,Research & Development_Laboratory Technician
85,18-25,No,Travel_Rarely,Sales,4,1,Medical,4,Female,3,2,Sales Executive,3,Married,4162,Upto 5k,1,Yes,12,3,2,5,3,3,5,4,0,3,Sales_Sales Executive
86,18-25,Yes,Travel_Frequently,Research & Development,9,3,Medical,2,Male,3,1,Laboratory Technician,1,Single,3172,Upto 5k,2,Yes,11,3,0,4,2,2,0,0,0,0,Research & Development_Laboratory Technician
87,18-25,No,Non-Travel,Sales,13,2,Life Sciences,4,Female,3,1,Sales Representative,2,Married,2033,Upto 5k,1,No,13,3,1,1,2,3,1,0,0,0,Sales_Sales Representative
88,18-25,No,Travel_Rarely,Research & Development,21,2,Technical Degree,3,Male,2,1,Laboratory Technician,1,Divorced,2296,Upto 5k,0,No,14,3,3,2,3,3,1,1,0,0,Research & Development_Laboratory Technician
89,18-25,No,Travel_Frequently,Research & Development,2,1,Technical Degree,1,Female,3,1,Research Scientist,4,Single,3760,Upto 5k,1,Yes,13,3,0,6,2,3,6,3,1,3,Research & Development_Research Scientist
90,18-25,No,Travel_Rarely,Research & Development,9,3,Medical,3,Male,4,1,Research Scientist,3,Married,4401,Upto 5k,1,No,16,3,1,5,1,3,5,3,0,4,Research & Development_Research Scientist
91,18-25,Yes,Travel_Rarely,Human Resources,22,1,Human Resources,4,Male,1,1,Human Resources,3,Married,1555,Upto 5k,1,No,11,3,1,1,2,3,1,0,0,0,Human Resources_Human Resources
92,18-25,No,Travel_Rarely,Research & Development,29,1,Medical,2,Male,3,1,Laboratory Technician,1,Divorced,3907,Upto 5k,1,No,13,3,3,6,2,4,6,2,1,2,Research & Development_Laboratory Technician
93,18-25,No,Travel_Frequently,Human Resources,10,3,Medical,1,Male,3,1,Human Resources,4,Married,2145,Upto 5k,0,No,14,3,1,3,2,3,2,2,2,1,Human Resources_Human Resources
94,18-25,No,Travel_Rarely,Research & Development,1,2,Life Sciences,2,Male,2,2,Healthcare Representative,3,Single,4617,Upto 5k,1,No,12,3,0,4,2,2,4,3,1,2,Research & Development_Healthcare Representative
95,18-25,Yes,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,2,Sales Executive,3,Single,5744,5k-10k,1,Yes,11,3,0,6,1,3,6,4,0,3,Sales_Sales Executive
96,18-25,No,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,2889,Upto 5k,1,No,11,3,2,2,2,3,2,2,2,1,Research & Development_Research Scientist
97,18-25,No,Non-Travel,Research & Development,5,2,Life Sciences,2,Male,4,2,Healthcare Representative,1,Divorced,4000,Upto 5k,1,No,12,3,2,6,2,3,6,3,1,5,Research & Development_Healthcare Representative
98,18-25,No,Travel_Rarely,Sales,4,2,Life Sciences,2,Female,2,2,Sales Executive,4,Single,4487,Upto 5k,1,Yes,11,3,0,5,3,3,5,4,1,3,Sales_Sales Executive
99,18-25,No,Travel_Rarely,Sales,13,1,Medical,2,Male,3,1,Sales Representative,3,Married,2096,Upto 5k,1,No,11,3,0,7,1,3,7,4,0,6,Sales_Sales Representative
100,18-25,No,Travel_Rarely,Sales,8,3,Life Sciences,4,Male,4,2,Sales Executive,2,Married,4851,Upto 5k,0,No,22,4,1,4,4,3,3,2,1,2,Sales_Sales Executive
101,18-25,No,Travel_Rarely,Sales,26,1,Medical,3,Female,3,2,Sales Executive,4,Single,6180,5k-10k,1,No,23,4,0,6,5,2,6,5,1,4,Sales_Sales Executive
102,18-25,No,Travel_Rarely,Research & Development,2,1,Medical,1,Male,4,1,Research Scientist,1,Single,3424,Upto 5k,7,No,13,3,0,6,3,2,4,3,0,1,Research & Development_Research Scientist
103,18-25,No,Travel_Rarely,Sales,3,1,Other,3,Male,3,2,Sales Executive,1,Married,4194,Upto 5k,1,Yes,18,3,0,5,3,3,5,3,0,3,Sales_Sales Executive
104,18-25,No,Travel_Rarely,Sales,4,1,Marketing,3,Male,2,2,Sales Executive,1,Married,4256,Upto 5k,1,No,12,3,0,5,1,4,5,2,0,3,Sales_Sales Executive
105,18-25,Yes,Travel_Rarely,Sales,19,2,Marketing,3,Male,2,1,Sales Representative,2,Married,2413,Upto 5k,1,Yes,18,3,3,1,2,3,1,0,0,0,Sales_Sales Representative
106,18-25,Yes,Travel_Rarely,Research & Development,4,1,Technical Degree,4,Male,3,1,Laboratory Technician,4,Married,3691,Upto 5k,1,Yes,15,3,1,7,3,4,7,7,5,6,Research & Development_Laboratory Technician
107,18-25,No,Travel_Rarely,Sales,10,4,Life Sciences,3,Male,3,2,Sales Executive,4,Single,4950,Upto 5k,0,No,14,3,0,5,4,3,4,3,1,1,Sales_Sales Executive
108,18-25,Yes,Travel_Frequently,Sales,24,1,Life Sciences,3,Male,1,1,Sales Representative,4,Single,1118,Upto 5k,1,Yes,14,3,0,1,4,3,1,0,1,0,Sales_Sales Representative
109,18-25,No,Travel_Rarely,Research & Development,1,3,Medical,4,Female,3,1,Research Scientist,2,Single,2096,Upto 5k,1,No,18,3,0,2,3,2,2,2,2,1,Research & Development_Research Scientist
110,18-25,No,Travel_Rarely,Research & Development,19,1,Medical,4,Male,3,1,Laboratory Technician,4,Married,3669,Upto 5k,3,No,11,3,3,7,6,2,3,2,1,2,Research & Development_Laboratory Technician
111,18-25,No,Travel_Rarely,Sales,18,1,Life Sciences,1,Male,4,2,Sales Executive,3,Married,6232,5k-10k,2,No,11,3,0,6,3,2,3,2,1,2,Sales_Sales Executive
112,18-25,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,Male,3,1,Laboratory Technician,4,Married,3229,Upto 5k,4,No,11,3,1,7,2,2,3,2,0,2,Research & Development_Laboratory Technician
113,18-25,Yes,Travel_Rarely,Sales,9,2,Life Sciences,1,Male,2,1,Sales Representative,1,Married,4400,Upto 5k,3,No,12,3,0,6,2,3,3,2,2,2,Sales_Sales Representative
114,18-25,No,Travel_Frequently,Research & Development,2,1,Life Sciences,4,Male,4,2,Manufacturing Director,3,Divorced,5206,5k-10k,1,No,17,3,2,7,6,3,7,7,0,7,Research & Development_Manufacturing Director
115,18-25,No,Travel_Rarely,Human Resources,2,3,Human Resources,3,Female,3,1,Human Resources,2,Married,2187,Upto 5k,4,No,14,3,0,6,3,3,2,0,1,2,Human Resources_Human Resources
116,18-25,No,Travel_Rarely,Research & Development,2,1,Other,4,Male,3,1,Laboratory Technician,3,Divorced,3977,Upto 5k,6,Yes,19,3,1,7,2,2,2,2,0,2,Research & Development_Laboratory Technician
117,18-25,No,Travel_Rarely,Sales,8,2,Other,1,Female,3,2,Sales Executive,3,Divorced,4907,Upto 5k,0,Yes,22,4,1,6,3,2,5,3,0,4,Sales_Sales Executive
118,26-35,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,Upto 5k,1,No,12,3,0,1,2,2,1,0,0,1,Research & Development_Laboratory Technician
119,26-35,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,Upto 5k,7,Yes,19,3,1,5,2,2,2,2,0,0,Sales_Sales Executive
120,26-35,No,Travel_Rarely,Research & Development,6,3,Other,3,Female,2,1,Research Scientist,2,Married,2368,Upto 5k,1,No,19,3,0,5,3,2,5,4,4,3,Research & Development_Research Scientist
121,26-35,No,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,3,1,Human Resources,3,Married,2942,Upto 5k,1,No,23,4,1,8,3,3,8,7,5,7,Human Resources_Human Resources
122,26-35,No,Travel_Frequently,Research & Development,1,3,Life Sciences,3,Female,3,2,Manufacturing Director,2,Divorced,6397,5k-10k,1,No,20,4,1,6,6,1,6,5,1,4,Research & Development_Manufacturing Director
123,26-35,No,Travel_Frequently,Research & Development,11,2,Medical,1,Male,3,2,Healthcare Representative,1,Married,4741,Upto 5k,1,Yes,13,3,1,5,3,3,5,3,3,3,Research & Development_Healthcare Representative
124,26-35,Yes,Travel_Rarely,Research & Development,16,4,Medical,1,Male,3,1,Laboratory Technician,2,Divorced,2373,Upto 5k,2,Yes,13,3,1,5,2,3,3,2,0,2,Research & Development_Laboratory Technician
125,26-35,Yes,Travel_Rarely,Sales,4,4,Marketing,4,Male,2,2,Sales Executive,4,Single,5828,5k-10k,1,Yes,12,3,0,8,0,3,8,7,7,4,Sales_Sales Executive
126,26-35,No,Travel_Rarely,Sales,1,3,Life Sciences,3,Male,3,2,Sales Executive,3,Married,5296,5k-10k,1,No,17,3,1,8,3,3,8,7,7,7,Sales_Sales Executive
127,26-35,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,3,Male,3,1,Research Scientist,1,Single,3102,Upto 5k,0,No,22,4,0,7,2,3,6,4,0,4,Research & Development_Research Scientist
128,26-35,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,Female,3,1,Research Scientist,4,Divorced,2886,Upto 5k,1,No,22,4,2,3,3,1,3,2,0,2,Research & Development_Research Scientist
129,26-35,Yes,Travel_Frequently,Human Resources,17,4,Life Sciences,2,Female,3,1,Human Resources,3,Divorced,2741,Upto 5k,0,Yes,11,3,1,8,2,2,7,7,1,0,Human Resources_Human Resources
130,26-35,No,Travel_Rarely,Sales,29,2,Medical,1,Male,3,2,Sales Executive,3,Divorced,4306,Upto 5k,5,No,12,3,2,8,5,3,0,0,0,0,Sales_Sales Executive
131,26-35,Yes,Travel_Rarely,Research & Development,24,3,Technical Degree,3,Male,1,1,Laboratory Technician,4,Single,2340,Upto 5k,1,Yes,18,3,0,1,3,1,1,0,0,0,Research & Development_Laboratory Technician
132,26-35,No,Travel_Rarely,Sales,28,2,Marketing,1,Male,3,2,Sales Executive,2,Married,6272,5k-10k,1,No,20,4,2,6,5,4,5,3,1,4,Sales_Sales Executive
